src,spp,SLA,SE2,dfMinus1
26,23,23.66,0.8464,22
35,18,53.9,0.105932203,58
50,22,32,1.96,22
26,23,25.1,0.403225,43
50,22,36.5,2.25,22
44,3,126,100,NA
44,3,117,196,NA
35,18,33.7,NA,NA
26,23,29.96,0.151321,43
35,3,42.2,0.550677966,58
26,23,28.12,0.303601,22
44,3,144,400,NA
26,23,27.62,0.151321,43
26,23,28.31,0.303601,22
26,23,26.73,0.8464,22
44,3,154,256,NA
50,22,51,8.41,22
44,3,134,36,NA
50,22,35.6,2.25,22
35,18,36,0.097627119,58
50,22,26.8,1.69,22
44,3,143,100,NA
50,22,38.3,2.25,22
26,23,27.88,0.403225,43
50,22,35.4,1.96,22
16,22,112.5,6.76,NA
16,3,132.3,17.64,NA
16,8,114,43.56,NA
16,14,88.1,8.41,NA
16,15,74.5,12.96,NA
16,16,96.6,10.24,NA
16,25,108.2,4.84,NA
16,19,101.8,4,NA
16,21,118.4,12.25,NA
40,21,92,NA,NA
16,18,102.3,7.84,NA
16,23,104.9,15.21,NA
34,23,31.1,4,28
34,23,26.2,20.25,58
34,23,28.1,13.69,28
40,19,48.9,NA,NA
40,15,39.2,NA,NA
40,20,35.9,NA,NA
40,21,74,NA,NA
40,3,41,NA,NA
40,22,34,NA,NA
40,18,34,NA,NA
51,16,45.3,NA,1
51,16,52.1,NA,1
51,16,47.4,NA,1
51,16,50,NA,1
51,16,49,NA,1
51,16,45.6,NA,1
51,16,51.6,NA,1
51,16,47.5,NA,1
51,16,50,NA,1
51,16,50.6,NA,1
51,16,48.7,NA,1
51,16,45.1,NA,1
51,16,43.6,NA,1
51,16,44.1,NA,1
51,16,44.6,NA,1
51,16,41,NA,1
51,16,40,NA,1
51,16,43.6,NA,1
51,16,43.6,NA,1
51,16,43.5,NA,1
51,16,46.8,NA,1
51,16,40.5,NA,1
51,16,47,NA,1
51,16,43.2,NA,1
51,16,47.9,NA,1
51,16,44.3,NA,1
49,22,44.2,0.5184,NA
49,22,47.2,0.5184,NA
49,22,55.5,0.6084,NA
49,22,42,0.5184,NA
49,22,42.9,0.5184,NA
49,22,51.3,0.7744,NA
49,22,44.7,0.3844,NA
49,22,44.9,0.3844,NA
49,22,57.1,0.5776,NA
49,22,38.65,2.4336,NA
49,22,46.01,3.4225,NA
21,22,68,7.29,6
21,22,44.7,1.69,6
21,22,41.3,10.89,6
21,22,54,4,6
39,3,210.3,106.09,NA
39,3,328.2,420.25,NA
39,21,153.8,106.09,NA
39,21,225.6,26.01,NA
43,3,262,NA,25
43,16,165,NA,23
26,23,29.9,0.8464,22
33,22,50.9,0.538947368,18
33,22,60.2,1.031428571,13
33,22,70.8,0.220416667,23
10,22,71,NA,73
10,22,96,NA,73
48,8,97.3,7.29,NA
48,8,147.3,7.29,NA
48,23,120.3,7.29,NA
48,23,185.1,3.61,NA
48,23,186.5,29.16,NA
48,23,135.1,46.24,NA
48,8,106.8,7.29,NA
48,8,159.5,29.16,NA
48,8,170.3,29.16,NA
48,8,110.8,16.81,NA
48,23,136.5,16.81,NA
48,23,201.4,16.81,NA
52,21,53.6,0.49,16
52,18,29.6,0.16,16
52,14,27.1,0.49,16
52,22,29.3,1.21,16
52,16,42.9,1.21,16
52,3,36.4,1.96,16
29,16,34.6,0.49,18
29,16,32.5,0.36,18
29,16,31.1,1.21,18
36,22,63,26.01,98
36,22,60,31.36,98
36,22,55,19.36,98
28,16,34,NA,NA
28,16,39,NA,NA
28,12,60,NA,NA
8,16,62.97,NA,NA
8,16,65.14,NA,NA
8,16,61.32,NA,NA
8,16,58.86,NA,NA
8,16,59.84,NA,NA
8,16,63.27,NA,NA
8,16,73.32,NA,NA
