gmax,W1,W2,T
0.0125,7.56,9.539433625,2.44
0.02104,7.71,9.539433625,2.44
0.01728,7.75,9.539433625,2.44
0.02292,9.34,9.539433625,2.44
0.02182,9.53,9.539433625,2.44
0.02336,12.63,9.539433625,2.44
0.02314,16.69,9.539433625,2.44
0.02688,19.92,9.539433625,2.44
0.01498,21.02,9.539433625,2.44
0.04854,3.43,10.05692459,16.25
0.02438,5.37,10.05692459,16.25
0.03516,5.59,10.05692459,16.25
0.0334,6.45,10.05692459,16.25
0.02522,4.03,11.87583341,16.25
0.02234,5.41,11.87583341,16.25
0.02638,6.69,11.87583341,16.25
0.03758,7,11.87583341,16.25
0.1046,17.9,18.87610194,18.86
0.1258,17.98,18.87610194,18.86
0.08198,18.61,18.87610194,18.86
0.09928,20.05,18.87610194,18.86
0.1474,16.48,22.33133406,18.86
0.1006,19.6,22.33133406,18.86
0.1052,20.51,22.33133406,18.86
0.08474,20.59,22.33133406,18.86
0.1572,4.13,12.28218538,20.05
0.0597,5.67,12.28218538,20.05
0.05322,5.82,12.28218538,20.05
0.0802,7.58,12.28218538,20.05
0.07732,9.82,12.28218538,20.05
0.09752,14.85,12.28218538,20.05
0.09314,15.28,12.28218538,20.05
0.05676,16.93,12.28218538,20.05
0.09844,7.41,10.98424063,20.6
0.0458,10.25,10.98424063,20.6
0.0497,11.92,10.98424063,20.6
0.06304,12.02,10.98424063,20.6
0.09664,12.46,10.98424063,20.6
0.2272,14.08,10.98424063,20.6
0.1246,14.15,10.98424063,20.6
0.1106,16.64,10.98424063,20.6
0.1588,7.36,10.50396138,20.7
0.08766,11.36,10.50396138,20.7
0.08414,11.99,10.50396138,20.7
0.1622,12.48,10.50396138,20.7
0.06774,13.15,10.50396138,20.7
0.1154,14.05,10.50396138,20.7
0.0979,15.57,10.50396138,20.7
0.08354,5.27,10.75169435,21.55
0.06682,7.48,10.75169435,21.55
0.03256,8.57,10.75169435,21.55
0.07292,8.66,10.75169435,21.55
0.04184,8.95,10.75169435,21.55
0.105,11.71,10.75169435,21.55
0.06356,13.05,10.75169435,21.55
0.04442,13.62,10.75169435,21.55
0.1022,5.13,12.31393938,21.6
0.0475,5.58,12.31393938,21.6
0.04922,6.07,12.31393938,21.6
0.09048,7.93,12.31393938,21.6
0.05414,13.45,12.31393938,21.6
0.111,17.51,12.31393938,21.6
0.07344,18,12.31393938,21.6
0.03878,19.13,12.31393938,21.6
0.09796,4.44,12.6572795,21.82
0.07004,5.76,12.6572795,21.82
0.05918,6.01,12.6572795,21.82
0.09282,7.8,12.6572795,21.82
0.06738,11.34,12.6572795,21.82
0.12,16.6,12.6572795,21.82
0.1324,16.67,12.6572795,21.82
0.091,17.99,12.6572795,21.82
0.2176,6.7,10.791732,22.76
0.118,10.82,10.791732,22.76
0.1152,11.11,10.791732,22.76
0.08642,12.94,10.791732,22.76
0.157,15.02,10.791732,22.76
0.11,17.48,10.791732,22.76
0.105,21.51,10.791732,22.76
0.06696,14.62,18.91033672,23.78
0.05138,15.99,18.91033672,23.78
0.05032,17.4,18.91033672,23.78
0.0769,17.73,18.91033672,23.78
0.06046,13.22,22.32041863,23.78
0.07264,16.36,22.32041863,23.78
0.05068,17.19,22.32041863,23.78
0.07838,17.51,22.32041863,23.78
0.087,4.18,10.84163114,25.52
0.09174,5.84,10.84163114,25.52
0.04496,6.39,10.84163114,25.52
0.08978,7.22,10.84163114,25.52
0.04588,7.29,10.84163114,25.52
0.0753,10.97,10.84163114,25.52
0.05804,12.89,10.84163114,25.52
0.06336,3.39,11.42879663,28.23
0.04944,5.24,11.42879663,28.23
0.0279,5.36,11.42879663,28.23
0.08578,6.95,11.42879663,28.23
0.05096,7.58,11.42879663,28.23
0.06266,11.17,11.42879663,28.23
0.07674,12.24,11.42879663,28.23
0.04302,14.31,11.42879663,28.23
0.02368,5.86,12.10555375,29.49
0.06125,5.98,12.10555375,29.49
0.03982,2.37,13.80439275,29.49
0.02174,4.88,13.80439275,29.49
