D,Desert,Veg,S,Y
2.5,1,5,0,-5.978423146
7.5,1,5,0,-5.403451612
12.5,1,5,0,-6.149116117
17.5,1,5,0,-5.82527532
22.5,1,5,0,-5.326417079
27.5,1,5,0,-5.775225018
32.5,1,5,0,-5.631696748
37.5,1,5,0,-5.640040571
42.5,1,5,0,-6.195358589
47.5,1,5,0,-5.327624615
52.5,1,5,0,-7.451874997
57.5,1,5,0,-8.824632436
62.5,1,5,1,NA
67.5,1,5,0,-8.02831607
72.5,1,5,1,NA
77.5,1,5,0,-7.601650664
90,1,5,0,-9.048856694
2.5,1,5,0,-6.116313695
7.5,1,5,0,-5.85088292
12.5,1,5,0,-5.725512529
17.5,1,5,0,-6.382477904
22.5,1,5,0,-6.275299945
27.5,1,5,0,-4.972512357
32.5,1,5,0,-8.835513927
37.5,1,5,0,-9.083943468
42.5,1,5,0,-8.978776469
47.5,1,5,0,-9.32057499
55,1,5,0,-9.072865213
65,1,5,0,-7.384706937
75,1,5,0,-7.810134306
90,1,5,0,-9.431762442
2.5,1,5,0,-6.531707066
7.5,1,5,0,-5.691821344
12.5,1,5,0,-7.16390522
17.5,1,5,0,-5.037139448
22.5,1,5,0,NA
27.5,1,5,0,NA
32.5,1,5,0,NA
37.5,1,5,0,NA
42.5,1,5,0,NA
47.5,1,5,0,NA
55,1,5,0,NA
1,1,5,0,-5.900467967
3.5,1,5,0,-4.839112365
7.5,1,5,0,-4.979644763
12.5,1,5,0,NA
17.5,1,5,0,NA
22.5,1,5,0,NA
27.5,1,5,0,NA
32.5,1,5,0,NA
37.5,1,5,0,NA
42.5,1,5,0,NA
47.5,1,5,1,NA
55,1,5,0,NA
65,1,5,1,NA
1,1,5,0,-6.230087669
3.5,1,5,0,-6.876587057
7.5,1,5,0,-6.263147605
12.5,1,5,0,NA
17.5,1,5,0,NA
22.5,1,5,0,NA
27.5,1,5,0,NA
37.5,1,5,0,NA
42.5,1,5,1,NA
55,1,5,1,NA
65,1,5,1,NA
75,1,5,1,NA
1,1,5,0,-5.688427087
3.5,1,5,0,-5.308829298
7.5,1,5,0,-6.059191912
1,1,2,0,-6.657774547
3.5,1,2,0,-6.710236474
7.5,1,2,0,-6.662927158
12.5,1,2,0,NA
17.5,1,2,1,NA
22.5,1,2,0,NA
27.5,1,2,0,NA
1,1,2,0,-5.659575127
3.5,1,2,0,-5.087402202
7.5,1,2,0,-6.02052351
12.5,1,2,1,NA
17.5,1,2,1,NA
22.5,1,2,1,NA
27.5,1,2,1,NA
32.5,1,2,0,NA
37.5,1,2,1,NA
42.5,1,2,0,NA
